,salary_to,salary_from,req,resp,name,vacancy_type,skills,level
325,75000,60000,"Умение применять разведочный анализ и обрабатывать данные в одном из статистических пакетах <highlighttext>SAS</highlighttext>, R, <highlighttext>Python</highlighttext>. Уверенный пользователь ПК. ","Всесторонняя поддержка департамента продаж в плане предоставления статистической отчетности об эффективности бизнеса, включающая в себя анализ страховой премии, количества заключенных...",Аналитик,data analyst,sas;r;python;,middle
333,75000,75000,Образование: высшее (желательно техническое или экономическое). Опыт работы в аналогичной должности в FMCG от 1 года . ПК: уверенный пользователь Excel...,"Прогнозирование объемов продаж по месяцам/неделям по SKU с учетом региональной специфики. Подготовка аналитических отчетов. <highlighttext>Построение</highlighttext> <highlighttext>моделей</highlighttext>, сценариев в Excel. ",Специалист по планированию (Demand Planner),data analyst,excel,middle
357,NA,126436.781609195,"Превосходно владеешь специализированными методологиями и программными средствами для <highlighttext>построения</highlighttext> <highlighttext>моделей</highlighttext> процессов, данных, объектов. Грамотно излагаешь материал и четко формулируешь выводы.","Вырабатывать наилучший вариант решения для реализации бизнес-требований в системе. Готовить проектную документации (BRD, FSD) на разработку или доработку функционала. ",Ведущий аналитик,data analyst,modeling;,middle
360,NA,149425.287356322,"Глубокое понимание как классической теории вероятности и математической статистики, так и методов <highlighttext>Machine</highlighttext> <highlighttext>Learning</highlighttext>. Целеустремленность и ответственность. Опыт разработки моделей...","Разработка широкого спектра новых моделей в области: Text Mining, <highlighttext>Neural</highlighttext> <highlighttext>Networks</highlighttext> и другие. Сбор данных из открытых источников и взаимодействие...",Data Scientist/ Аналитик-программист(Python),data scientist,algorithms;text_mining;parsing,middle
364,172413.793103448,91954.0229885057,"Опыт работы с OpenCV, знание <highlighttext>Python</highlighttext>. Знание протокола HTTP и понимание REST-архитектуры; Опыт работы с системой контроля версий Git...","Опыт разработки систем записи, обработки видео и передачи (video-streaming) на удаленные медиа-сервера. Разработка программного обеспечения для нейронных сетей...","Программист (Qt, C++/C#)",data engineer,opencv;python;rest;git;algorithms,middle
378,150000,80000,"Желание развиваться в рекламных технологиях, основанных на <highlighttext>Big</highlighttext> <highlighttext>Data</highlighttext>. Навыки портфельной настройки стратегий, оптимизации множества KPI. Аналитический склад ума, системность...",Анализ качества в системах <highlighttext>аналитики</highlighttext> Яндекс.Метрика и Google Analytics. Составление и организация контрольных групп размещений. Взаимодействие с командой <highlighttext>Big</highlighttext> <highlighttext>Data</highlighttext>...,Media buyer/Трафик менеджер,data scientist,yandex_metrics;google_analytics;,middle
380,100000,90000,"Вам необходимо продемонстрировать или обосновать опыт применения алгоритмов <highlighttext>Machine</highlighttext> <highlighttext>Learning</highlighttext>, Deeh Learning в реальных задачах Date Mining, статистической обработки данных...","Прогнозирование поведения объектов на основе анализа временных рядов систем промышленной телеметрии, видеонаблюдения, биллинга, интернет сервисов, автомобильных треков и пр.. - ",Аналитик отдела бизнес аналитики Управления информационных технологий и атоматизации,data scientist,algorithms;,middle
393,568965.517241379,517241.379310345,"...databases, Nosql databases, Caching systems, Full Text Search engines, <highlighttext>Big</highlighttext> <highlighttext>Data</highlighttext> systems. Has good experience with the TDD approach, doing...","As a Chief Architect you will be responsible for developing solutions to complex architectural problems, designing and delivering real enterprise...",Cloud Chief Software Architect,manager,nosql;design;,middle
394,344827.586206897,310344.827586207,5+ years of experience as both a hands-on architect and a software engineer. Bachelor’s Degree in Computer...,"We are excited about using data to make decisions, we are bringing <highlighttext>big</highlighttext> <highlighttext>data</highlighttext> and analysis to software development. ",Software Architect,data engineer,experience;,middle
396,172413.793103448,137931.034482759,"2+ years of experience as a hands-on software engineer. Bachelor’s Degree in Computer Science, Electrical Engineering, or...","We are excited about using data to make decisions, we are bringing <highlighttext>big</highlighttext> <highlighttext>data</highlighttext> and analysis to software development. ",Software Engineer,data engineer,experience;,middle
398,114942.528735632,80459.7701149425,"You are able to plan tasks, delegate, control the timeframe. Already worked in B2B, and even better - you...",Want to go to the office to drink coffee and discuss memes with colleagues. Have got used to that the...,Head of marketing / Руководитель отдела маркетинга,manager,,middle
408,NA,70000,"Знакомство с интеллектуальными методами (искусственные <highlighttext>нейронные</highlighttext> <highlighttext>сети</highlighttext>, генетические алгоритмы, экспертные продукционные системы). Требования к личным характеристикам и качествам: Умение думать...","Анализ и описание предметных областей – проведение обследований, выявление требований к ИС, сбор исходных данных. Управление требованиями. Коммуникация с Заказчиком. ",Руководитель проектов,project manager,algorithms;,middle
429,NA,150000,"Подтвержденные результаты в области больших данных, <highlighttext>машинного</highlighttext> <highlighttext>обучения</highlighttext>, искусственного интеллекта (наличие рейтинговых публикаций и (или) результатов интеллектуальной деятельности по тематике). ","Разработка и использование технологии <highlighttext>машинного</highlighttext> <highlighttext>обучения</highlighttext> для воспроизведения творческой деятельности человека. Руководство молодежным научным коллективом (студенты, аспиранты): 3-5 человек. ","Руководитель направления ""Креативные интеллектуальные технологии""",project manager,experience;,middle
461,NA,200000,"Навыки программирования на <highlighttext>Python</highlighttext>. Знание и применение на практике алгоритмов <highlighttext>машинного</highlighttext> <highlighttext>обучения</highlighttext>, статистического анализа. Знание Tableau. Знания Web-<highlighttext>аналитики</highlighttext> (GA...","Выявление проблем, <highlighttext>построение</highlighttext> <highlighttext>моделей</highlighttext>, поиск и выявление зависимостей для формирования гипотез об улучшениях продукта и процессов. Прогнозирование роста и падения...",Аналитик,data scientist,python;algorithms;tableau;modeling;,middle
469,206896.551724138,160919.540229885,Опыт web разработки на <highlighttext>Python</highlighttext> не менее 2 лет. Опыт работы с Django от года. Знание Git. Умение писать тесты...,"Разработка backend составляющей продукта (GraphQL API для web и mobile приложений, внутренняя CRM). Интеграции с внутренними <highlighttext>machine</highlighttext> <highlighttext>learning</highlighttext> разработками. ",Python Developer/ Python-Разработчик,data engineer,python;experience;django;git;crm,middle
492,NA,91954.0229885057,"...данных/<highlighttext>машинного</highlighttext> <highlighttext>обучения</highlighttext>). Знание алгоритмов <highlighttext>машинного</highlighttext> <highlighttext>обучения</highlighttext> (линейная регрессия, логистическая регрессия, деревья решений, random forest, gradient tree boosting, <highlighttext>нейронные</highlighttext> <highlighttext>сети</highlighttext>). ","Область деятельности и основные обязанности: анализ данных и разработка алгоритмов для задач прогнозирования спроса и оптимизации цепей поставок, в проектах...",Senior Data Scientist,data scientist,algorithms;,senior
519,91954.0229885057,45977.0114942529,"...данных, знание SQL. Знание алгоритмов <highlighttext>машинного</highlighttext> <highlighttext>обучения</highlighttext> (линейная регрессия, логистическая регрессия, деревья решений, random forest, gradient tree boosting, <highlighttext>нейронные</highlighttext> <highlighttext>сети</highlighttext>).","Исследование данных, поиск закономерностей, формулирование и проверка гипотез, обоснование результатов исследований. Разработка моделей в области прогнозирования спроса и оптимизации цепей...",Junior Data Scientist,data scientist,sql;algorithms;,junior
525,200000,150000,Опыт работы <highlighttext>аналитиком</highlighttext> <highlighttext>данных</highlighttext> от 3 лет. Если опыт в ритейле и FMCG — еще лучше. Знание <highlighttext>Python</highlighttext> (+ scikit-learn...,"Создавать и внедрять модели <highlighttext>машинного</highlighttext> <highlighttext>обучения</highlighttext>, предиктивные и дескриптивные модели. Понятно доносить результаты своей работы с помощью Tableau, Power BI...",Data Scientist,data scientist,experience;python;scikit_learn;tableau;power_bi;,middle
562,NA,229885.057471264,"Опытный пользователь ПК, хорошие навыки программирования с базами данных SQL/<highlighttext>SAS</highlighttext>, умение пользоваться статистическими пакетами. Преимущества – портфолио реализованных скоринговых моделей...",Разработка и перманентная актуализация (валидация/калибровка) скоринговых моделей для портфеля по выданным займам. Анализ поведения портфеля и выработка предложений по...,Директор по рискам/Data-scientist,data scientist,sql;sas;modeling;,middle
581,115000,115000,"Теория оптимизации (многокритериальная оптимизация). Математическое моделирование. Основы <highlighttext>machine</highlighttext> <highlighttext>learning</highlighttext>. Программирование на C / C++,<highlighttext>Python</highlighttext>, Golang. MS Office. Optional: TeamFoundationServer, Delphi...",Поиск и анализ методов оптимального решения поставленных задач. Разработка алгоритмов. Разработка Программного Обеспечения. Техническое сопровождение созданных систем и сервисов.,Программист – математик,data scientist,algorithms;c;python;go;delphi;,middle
584,68965.5172413793,57471.2643678161,Опыт разработки/внедрения RPA процессов либо скриптов автоматизации бизнес-процессов. Знание SQL на уровне самостоятельно построить запрос и выгрузить данные. ,"...Metabase, Power BI). Презентация и обсуждение результатов с командой. Взаимодействие с другими командами (координации, модерации, <highlighttext>аналитики</highlighttext> и ИТ-разработки) компании.",Cпециалист по роботизированной автоматизации бизнес-процессов (RPA),data analyst,sql;power_bi;,middle
591,NA,91954.0229885057,"Oracle SQL + MS SQL - средний уровень. MS Excel - средний/продвинутый уровень. Знание теории вероятности, математической статистики (линейная регрессия, дерево...","Поддержка системы аналитической отчетности. Написание аналитических заключений. Анализ больших массивов данных. <highlighttext>Построение</highlighttext> <highlighttext>моделей</highlighttext>, прогнозирование результатов. Анализ операционных и финансовых показателей.",Риск-менеджер,data scientist,sql;oracle;excel;reporting;modeling;,middle
608,NA,170000,"...писать доки на английском. <highlighttext>Python</highlighttext> с библиотеками pandas, <highlighttext>numpy</highlighttext>. Строить предсказательные модели. Знание того, как устроена <highlighttext>аналитика</highlighttext> в мобильном приложении.","Построение и анализ пользовательских метрик (RR, DAU, LiveTime, Churn, воронки). Ad-Hoc <highlighttext>аналитика</highlighttext> для поддержки принятия решений. Сопровождение и анализ...",Product Analyst,data scientist,pandas;python;algorithms;,middle
615,NA,160919.540229885,Знания в области мат. статистики и алгоритмов <highlighttext>machine</highlighttext> <highlighttext>learning</highlighttext> являются преимуществом. Требования к опыту работы. От 3 лет после окончания...,Компания &quot;Форексис&quot; работает на рынке систем искусственного интеллекта и <highlighttext>машинного</highlighttext> <highlighttext>обучения</highlighttext> 17 лет. &quot;Форексис&quot; работает по схеме создания новых продуктовых...,Руководитель проекта,project manager,algorithms;,middle
623,NA,80000,"Приветствуется опыт использования библиотеки OpenCV. Приветствуется знание <highlighttext>Python</highlighttext>, наличие опыта работы с библиотеками глубокого обучения (PyTorch, <highlighttext>TensorFlow</highlighttext>, Caffe). ",Разработка низко полигональных трёхмерных моделей. Разработка архитектур глубоких свёрточных нейронных сетей на языке <highlighttext>Python</highlighttext>. Обучение глубоких свёрточных нейронных сетей.,Разработчик C++,data engineer,opencv;python;pytorch;tensorflow;caffe;c;algorithms;,middle
645,200000,150000,"Опыт реализации алгоритмов <highlighttext>машинного</highlighttext> <highlighttext>обучения</highlighttext> (<highlighttext>Python</highlighttext>, R, MATLAB, etc.). Понимание основных методов и алгоритмов <highlighttext>Machine</highlighttext> <highlighttext>Learning</highlighttext>, а также опыт их...",Статистический анализ и обработка данных. Построение математических моделей по прогнозированию. Разработка алгоритмов на <highlighttext>python</highlighttext>. Внедрение своих решений в продакшн.,Data scientist,data scientist,python; experince;r;matlab;algorithms;modeling;deployment,middle
669,91954.0229885057,45977.0114942529,"...неполное высшее образование. Опыт работы Java разработчиком от 0,5 года. Java core. Linux, опыт написания скриптов (perl, <highlighttext>python</highlighttext>, bash).",Участвовать в написании продуктов по оценке жилой и коммерческой недвижимости. Принимать участие в написании продуктов по <highlighttext>аналитике</highlighttext> рынка жилой и...,Junior Java Developer,data engineer,java;linux;bash;,junior
676,287356.32183908,137931.034482759,Опыт работы с задачами в области <highlighttext>Big</highlighttext> <highlighttext>Data</highlighttext> и анализа соц сетей. Понимание принципов работы распределенных вычислений. Опыт работы с...,"Парсинг данных из социальных сетей и других источников. Обогащение полученных данных, определение социально-демографической информации пользователей и их интересов, как...",Java developer,data scientist,sna;parsing;,junior
687,140000,100000,Уверенное владение <highlighttext>python</highlighttext> (3.*). Опыт разработки в среде linux. Высшее техническое образование. Опыт работы с библиотекой pandas. Владение С++ и...,"Автоматизация процессов сбора, хранения и анализа данных из открытых и закрытых источников (ETL / CMC). Автоматизация процессов обработки, «обогащения» и нормализации...",Junior Data Developer (Python),data engineer,python; experince;linux;c;parsing;etl,junior
708,200000,150000,"...<highlighttext>big</highlighttext> <highlighttext>data</highlighttext> техи. 3. R (как минимум, желание читать). 4. SQL (Полный цикл). 7. DS: time-series, tree-based, <highlighttext>NLP</highlighttext>...","Есть свои боевые разработки в demand forecasting, dynamic pricing, рекомендашках, <highlighttext>NLP</highlighttext> (около продажных и маркетинговых процессов), оптимизации колл-центров. 5. ",Senior Python Developer,data scientist,sql;r;algorithms;nlp,senior
713,NA,137931.034482759,"Опыт использования MS SQL Azure, особенно в области <highlighttext>Big</highlighttext> <highlighttext>Data</highlighttext>. Глубокие знания в области построения и оптимизации индексов. ",Разработка структуры хранилища. Написание хранимых процедур под задачи бизнеса.,Программист СУБД,data engineer,azure;design;,middle
723,NA,137931.034482759,Опытом реализации подобных проектов. Навыки и опыт настройки стягивания данных из 1с и других источников в MS Power BI. ,"...Power BI, PowerQuery). Визуализация полученных данных, построение Dashboards и OLAP/BI отчетности. Создание и развитие системы сквозной <highlighttext>аналитики</highlighttext> в компании.",Разработчик BI/OLAP Отчетности / Специалист по базам данных,data engineer,power_bi;olap;,middle
731,180000,150000,"Опыт разработки на Ruby (RoR) от 3-х лет. Системный подход к решению нестандартных для веба задач (очереди, фоновые и...","...созданием высоконагруженных многокомпонентных систем, конфигурированием и управлением очередями фоновых задач, распределенными вычислениями, конечными автоматами, блокчейном, смарт-контрактами и <highlighttext>компьютерным</highlighttext> <highlighttext>зрением</highlighttext>.","Senior backend developer, IT architect",data engineer,ruby;computer_vision;blockchain;,senior
